Method,SNR,PESQ,STOI,Runtime
Method 1,-25.9507129,0.201846197,0.183291559,2.14
Method 1,-24.50137945,-0.168366894,0.248986941,2.75
Method 1,-27.10568218,0.633994401,0.134808675,2.84
Method 1,-26.39803819,0.309753388,0.247193968,2.26
Method 1,-26.30370339,0.479307801,0.244553744,2.23
Method 1,-26.00133042,0.200896546,0.188621627,3.26
Method 1,-27.12189572,0.567489505,0.162840032,2.63
Method 1,-26.26871439,0.384379297,0.245527358,3.71
Method 1,-26.81655283,0.619208097,0.143649052,3.12
Method 1,-26.1350912,0.435521573,0.178379988,2.18
Method 1,-27.16730415,0.589737058,0.173470846,4.34
Method 1,-24.8849736,-0.181546584,0.252934892,5.03
Method 1,-26.58924674,0.854157746,0.14772999,2.15
Method 1,-26.9989162,0.678579926,0.138565435,2.13
Method 1,-26.43867569,0.081955209,0.247113561,2.23
Method 1,-24.47137295,-0.100831255,0.244006684,2.78
Method 1,-26.69819207,-0.064054094,0.206276307,2.3
Method 1,-27.38786069,0.215679944,0.134519362,2.52
Method 1,-27.34025693,0.18338494,0.124324682,4.86
Method 1,-26.14225541,-0.012597525,0.18933956,2.31
Method 1,-27.47771694,0.236230299,0.138872841,2.54
Method 1,-25.53319194,0.048605792,0.227663206,3.05
Method 1,-26.78133964,0.034583274,0.209601943,4.03
Method 1,-27.35948964,0.135792375,0.130891342,2.54
Method 1,-27.17872726,0.513191283,0.13496211,2.61
Method 1,-25.70771461,1.306451321,0.153987179,3.19
Method 1,-26.42383258,-0.105378121,0.195354885,2.53
Method 1,-25.09258354,-0.151314169,0.252777612,3.29
Method 1,-27.49413976,0.239217103,0.141423188,5.21
Method 1,-26.83435562,-0.121208824,0.211985702,2.39
Method 1,-26.16456582,0.818303406,0.178548048,2.12
Method 1,-26.04063155,0.355608493,0.181039668,2.17
Method 1,-26.10040261,0.354917973,0.179565724,3.38
Method 1,-26.28484577,0.410662532,0.245458973,2.32
Method 1,-26.59309405,-0.015531943,0.201560519,4.21
Method 1,-24.77911111,-0.253583223,0.251033378,2.79
Method 1,-26.42938396,0.348977804,0.244978446,2.6
Method 1,-27.43289387,0.11213845,0.137509821,3.33
Method 1,-26.34222236,0.317256451,0.247416044,2.24
Method 1,-25.98976869,0.128371462,0.186031471,2.17
Method 1,-24.83944169,-0.081801414,0.236462818,5.02
Method 1,-26.23830146,1.002288938,0.149635611,2.15
Method 1,-27.34638558,0.162132502,0.127536488,2.52
Method 1,-26.22136259,-0.030303702,0.189689704,2.29
Method 1,-26.86430837,0.029439716,0.149756685,2.22
Method 1,-27.18398764,0.360901862,0.127700045,2.57
Method 1,-27.50897557,0.386584878,0.143986975,4.69
Method 1,-26.08348983,0.101089031,0.149155247,2.69
Method 1,-27.31627485,0.304851174,0.235667506,3.74
Method 1,-23.48920669,0.554583549,0.239345941,5.3
Method 1,-25.4805765,0.378801882,0.171350697,2.17
Method 1,-23.02914399,0.385997832,0.199081723,3.28
Method 1,-27.77652275,0.821938753,0.123688039,2.27
Method 1,-25.98159859,-0.019121742,0.215597116,3.32
Method 1,-26.22328585,0.384075463,0.208542,2.12
Method 1,-25.40945224,0.106878959,0.163746845,3.07
Method 1,-27.19115587,0.308422863,0.168398419,4.73
Method 1,-25.08930079,0.091366723,0.201821329,2.79
Method 1,-26.95900416,0.955757976,0.120287556,4.25
Method 1,-25.31802944,0.163126707,0.198242685,2.28
Method 1,-27.01977181,0.067587927,0.12655033,3.83
Method 1,-27.92754922,0.346306354,0.203687892,2.16
Method 1,-26.05678286,0.033504486,0.133285967,2.79
Method 1,-26.7104225,0.559828222,0.148741536,2.18
Method 1,-26.83039765,0.595402479,0.206582976,2.63
Method 1,-27.34349418,0.490381926,0.220048174,2.63
Method 1,-27.49033454,1.00620079,0.212316918,4
Method 1,-25.9528997,0.259616077,0.20276247,3.96
Method 1,-27.04622406,0.383786082,0.182588572,2.33
Method 1,-27.35628567,0.150113806,0.16964058,4.3
Method 1,-23.69641284,0.121849559,0.168069107,3.78
Method 1,-24.54996409,0.233366996,0.1639484,2.5
Method 1,-26.85292976,0.343574375,0.12005893,2.27
Method 1,-27.41683333,0.428385019,0.198603635,2.24
Method 1,-24.8225459,0.210740268,0.214177432,2.81
Method 1,-26.66665922,0.152615547,0.177783687,2.76
Method 1,-26.45765966,0.141723052,0.205437236,3.11
Method 1,-27.33041676,-0.212531686,0.153905116,2.54
Method 1,-27.69974724,0.275822937,0.196597883,2.16
Method 1,-27.37217007,0.375476241,0.185667976,2.16
Method 1,-24.82144949,0.193522573,0.204098575,3.92
Method 1,-27.33098517,0.329781085,0.249017313,2.56
Method 1,-24.77209568,0.226073563,0.156814444,2.65
Method 1,-25.22251271,0.373900115,0.176862736,2.19
Method 1,-25.39995095,-0.23013781,0.198711346,2.13
Method 1,-25.69314414,0.090676323,0.160613578,2.35
Method 1,-25.63845714,0.120363198,0.201392325,2.72
Method 1,-25.28603931,0.141533881,0.121443572,3.03
Method 1,-25.8277059,0.425170183,0.210981107,3.06
Method 1,-25.05625751,0.359859467,0.186378061,2.28
Method 1,-27.2307723,0.22439605,0.162783317,2.85
Method 1,-25.46473554,0.06856557,0.089505032,2.94
Method 1,-27.31411452,0.120837897,0.17047277,2.37
Method 1,-26.92890768,0.429165751,0.185551354,2.29
Method 1,-27.99000336,0.145719662,0.145607982,2.5
Method 1,-26.00040899,0.035532445,0.130995196,2.8
Method 1,-27.0588192,0.343908429,0.155837262,2.51
Method 1,-27.32967902,0.266566962,0.184438486,2.43
Method 1,-25.87104841,0.143270433,0.188784751,2.69
Method 1,-27.58807904,0.29033199,0.274830237,2.47
Method 1,-26.54095979,0.067151815,0.168909653,5.09
Method 1,-26.56252154,0.345273137,0.194963751,2.92
Method 1,-24.48362572,0.474242687,0.190805994,2.12
Method 1,-24.50033721,0.486767381,0.228165111,3.5
Method 1,-27.94868179,0.137183189,0.238501939,4.42
Method 1,-26.14504263,0.02971378,0.220897835,2.14
Method 1,-27.61818918,0.343553603,0.144842079,2.5
Method 1,-26.5836907,0.032300249,0.152361699,2.21
Method 1,-26.64334561,0.736330926,0.199231526,5.64
Method 1,-26.74148113,0.138003036,0.101337392,3.6
Method 1,-26.50961887,0.769568086,0.203392984,3.11
Method 1,-27.39897272,0.310795009,0.140470396,4.1
Method 1,-26.74959312,0.421689302,0.197371685,2.11
Method 1,-26.55074572,0.022015853,0.165638985,2.65
Method 1,-27.19708421,0.206078738,0.121254993,2.57
Method 1,-27.71685657,0.095099255,0.235344886,2.59
Method 1,-24.65241965,0.176107138,0.210278294,2.76
Method 1,-26.75667426,0.48848328,0.2056408,2.97
Method 1,-25.73480609,0.24462755,0.129037735,3.34
Method 1,-27.19863172,0.307905376,0.173341133,4.56
Method 1,-26.75622603,0.39021346,0.190398917,2.88
Method 1,-27.42311276,0.252522767,0.123092773,2.36
Method 1,-24.8203329,0.261348397,0.139319406,2.8
Method 1,-26.57021276,0.590312302,0.20200145,5.43
Method 1,-27.13419448,0.133334413,0.175110118,5.26
Method 1,-27.20219599,-0.182219177,0.149102435,3.03
Method 1,-27.66312766,-0.353103369,0.15780822,2.5
Method 1,-23.60709671,0.305228055,0.18150604,2.17
Method 1,-26.56230408,0.016047722,0.163203211,2.69
