Method,0,SNR,PESQ,STOI,Runtime
logmnse,,-26.30370338742164,0.47930780053138733,0.24455374388788778,2.24
logmnse,,-26.221362591096124,-0.030303701758384705,0.18968970357953818,2.21
logmnse,,-27.47771693981253,0.2362302988767624,0.1388728410596502,2.6
logmnse,,-26.238301463084834,1.0022889375686646,0.14963561078477655,2.06
logmnse,,-25.98976869279445,0.128371462225914,0.18603147115042745,2.1
logmnse,,-27.121895722996463,0.567489504814148,0.16284003216450613,2.57
logmnse,,-24.839441693840648,-0.0818014144897461,0.23646281794771523,2.7
logmnse,,-25.853019747008503,0.21186812222003937,0.09106640829792169,2.48
logmnse,,-23.60709670847516,0.305228054523468,0.18150604038348647,2.21
logmnse,,-25.69314414464843,0.09067632257938385,0.16061357824834793,2.16
logmnse,,-26.619907303950335,0.1428605616092682,0.17412027011594253,2.62
logmnse,,-26.949875819021997,0.2172476351261139,0.1398622753786989,3.05
logmnse,,-24.8875848003916,0.2629295289516449,0.12917523162586655,2.28
logmnse,,-27.78934679718118,0.3685443103313446,0.20854237973253323,2.4
logmnse,,-27.772419767856924,0.4185847342014313,0.23943038015999255,2.11
logmnse,,-25.34842838868358,0.6442116498947144,0.1927115382885586,2.56
logmnse,,-26.866821581836398,0.687822699546814,0.19510916637572312,3.07
logmnse,,-25.82770589584083,0.4251701831817627,0.2109811074682792,2.58
logmnse,,-26.363875529386576,0.2525828778743744,0.26516160838407876,2.61
logmnse,,-27.94868178825105,0.13718318939208984,0.2385019388001156,2.59
logmnse,,-26.756674259719958,0.4884832799434662,0.20564079976743838,2.9
logmnse,,-27.663127658247213,-0.353103369474411,0.15780822019750726,2.48
logmnse,,-27.92255971352772,0.25728684663772583,0.16634668668018182,2.25
logmnse,,-24.483625718763662,0.4742426872253418,0.19080599425090544,2.28
logmnse,,-25.31802943717843,0.16312670707702637,0.19824268473750914,2.19
logmnse,,-24.772652866988338,0.1625644564628601,0.15970695343839675,2.67
logmnse,,-25.19720803585933,0.11893526464700699,0.21448644141415998,2.65
logmnse,,-25.288222277322447,0.34368613362312317,0.19831301186672537,2.34
logmnse,,-24.500337208445764,0.48676738142967224,0.22816511144509957,2.69
logmnse,,-25.45577967407128,-0.03833286464214325,0.19870135515751958,2.06
logmnse,,-26.223285846676056,0.38407546281814575,0.2085420004694346,2.06
logmnse,,-25.75322111068604,0.162613645195961,0.1546630128020644,2.56
logmnse,,-27.481667223691545,0.2624642550945282,0.2698006754499794,2.51
logmnse,,-27.423112759761537,0.2525227665901184,0.12309277264146042,2.33
logmnse,,-27.990003360713565,0.14571966230869293,0.14560798185820328,2.43
logmnse,,-26.582264132882454,0.029616309329867363,0.12648852621839857,2.7
logmnse,,-27.927549223991292,0.34630635380744934,0.20368789236307258,2.1
logmnse,,-27.022968591711333,0.4613426625728607,0.1502254060458719,2.21
logmnse,,-28.029246585884543,0.24872279167175293,0.1870964600062281,2.65
logmnse,,-27.841015837629513,0.24429525434970856,0.13518508093326123,2.53
logmnse,,-28.03530200129405,-0.005020285956561565,0.16667581344245114,2.59
logmnse,,-27.483356934468148,0.19277027249336243,0.19061889424832584,2.58
logmnse,,-24.821163889430103,0.8571439385414124,0.15538910951033463,2.21
logmnse,,-27.98765060424109,0.14796581864356995,0.1258464372308728,2.76
mmse,,0.26996374130249023,2.0115764141082764,0.7473892587229918,0.48
mmse,,1.4356476068496704,1.7825793027877808,0.665509629258562,0.5
mmse,,1.6513758897781372,1.7282280921936035,0.8124210554842785,0.5
mmse,,0.7530638575553894,1.8689489364624023,0.7735070691643976,0.48
mmse,,1.1570686101913452,1.8533262014389038,0.7614952627055691,0.51
mmse,,1.1114975810050964,1.6019494533538818,0.6693968478977568,0.51
mmse,,0.44281378388404846,1.8859028816223145,0.7170218099337604,0.55
mmse,,2.3650062084198,1.827466368675232,0.8040720600550318,0.52
mmse,,1.959465742111206,2.025447368621826,0.663123352697019,0.47
mmse,,0.230599045753479,1.8200738430023193,0.8108366187030832,0.45
mmse,,1.8906137347221375,1.866123914718628,0.7931669316218386,0.53
mmse,,0.24043574929237366,1.9529222249984741,0.7235135078718733,0.56
mmse,,0.7577842473983765,2.0304205417633057,0.7247068989886198,0.48
mmse,,0.6695649027824402,1.5863229036331177,0.6766007747369847,0.51
mmse,,1.5908297896385193,1.4952887296676636,0.7172645216540418,0.44
mmse,,1.6191400587558746,1.993962049484253,0.6248765202446352,0.53
mmse,,1.1502793431282043,1.9757879972457886,0.7706168100416617,0.59
mmse,,0.31821101903915405,2.03357195854187,0.7635569989258382,0.53
mmse,,4.138963520526886,1.5814632177352905,0.6568449188417418,0.51
mmse,,3.7321636080741882,1.5707772970199585,0.688454233639318,0.53
mmse,,0.8416250348091125,1.7321529388427734,0.6765955695968523,0.54
mmse,,2.8023341298103333,2.0246498584747314,0.7743572255622949,0.52
mmse,,2.1493619680404663,1.6548409461975098,0.7918755031118629,0.53
mmse,,2.800617218017578,1.9253334999084473,0.5719616003454232,0.47
mmse,,3.1119632720947266,1.5744781494140625,0.6473120633380304,0.45
mmse,,1.063460260629654,1.8336546421051025,0.6947923268142746,0.56
mmse,,0.2487771213054657,1.7863874435424805,0.7724994143561219,0.53
mmse,,1.2179473042488098,1.7291102409362793,0.6278288574783094,0.49
mmse,,0.8800092339515686,1.972191572189331,0.7460361752826826,0.55
mmse,,1.6678109765052795,1.8834120035171509,0.7423035630513038,0.46
mmse,,0.20021677017211914,1.9589017629623413,0.8067086123544079,0.44
mmse,,1.2043826282024384,1.7735024690628052,0.6600916362344259,0.55
mmse,,1.9483575224876404,1.6936979293823242,0.698273311907567,0.54
mmse,,3.858323097229004,2.4220337867736816,0.7853962417804078,0.47
mmse,,1.9468986988067627,1.6976516246795654,0.8256092803998193,0.53
mmse,,1.4577355980873108,1.9156935214996338,0.7742786298661856,0.54
mmse,,2.491365075111389,2.184978723526001,0.7687024016063745,0.45
mmse,,0.6869825720787048,1.8534141778945923,0.7261107308225428,0.45
mmse,,4.821000844240189,2.7115859985351562,0.8471781293308214,0.53
mmse,,2.9275181889533997,2.6181657314300537,0.8314416272785426,0.55
mmse,,4.950896501541138,2.620310068130493,0.8717923905428471,0.54
mmse,,0.28913289308547974,1.8757903575897217,0.709734705575407,0.52
mmse,,-0.0002485513687133789,2.050325393676758,0.785534513703566,0.47
mmse,,5.520560443401337,2.3473873138427734,0.8321907425866201,0.58
dtln,,-0.1362811028957367,1.8715747594833374,0.6485114808188247,0.83
dtln,,2.771447002887726,1.9148595333099365,0.7192905989211505,2.1
dtln,,-0.11556178331375122,1.4756920337677002,0.650677330388213,0.86
dtln,,-0.6597398221492767,1.7916513681411743,0.6354409749127489,0.75
